2025-11-26T12:46:36.000000000Z [inf]  Starting Container
2025-11-26T12:46:37.106394022Z [err]  npm warn config production Use `--omit=dev` instead.
2025-11-26T12:46:37.106402894Z [inf]  
2025-11-26T12:46:37.106410357Z [inf]  > rest-express@1.0.0 start
2025-11-26T12:46:37.106417211Z [inf]  > NODE_ENV=production node dist/index.js
2025-11-26T12:46:37.106424024Z [inf]  
2025-11-26T12:46:37.291944612Z [inf]  Registering Discord bot commands...
2025-11-26T12:46:37.325403124Z [inf]  12:46:37 PM [express] serving on port 8080
2025-11-26T12:46:37.486935215Z [err]  Failed to register Discord commands: DiscordAPIError[50035]: Invalid Form Body
2025-11-26T12:46:37.486947372Z [err]  5.options[2][APPLICATION_COMMAND_OPTIONS_REQUIRED_INVALID]: Required options must be placed before non-required options
2025-11-26T12:46:37.486956862Z [err]      at handleErrors (/app/node_modules/@discordjs/rest/dist/index.js:762:13)
2025-11-26T12:46:37.486963137Z [err]    },
2025-11-26T12:46:37.486964006Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
2025-11-26T12:46:37.486970400Z [err]      errors: { '5': [Object] }
2025-11-26T12:46:37.486971917Z [err]      at async SequentialHandler.runRequest (/app/node_modules/@discordjs/rest/dist/index.js:1163:23)
2025-11-26T12:46:37.486972481Z [err]    code: 50035,
2025-11-26T12:46:37.486981655Z [err]    status: 400,
2025-11-26T12:46:37.486983307Z [err]      at async SequentialHandler.queueRequest (/app/node_modules/@discordjs/rest/dist/index.js:994:14)
2025-11-26T12:46:37.486990610Z [err]    method: 'PUT',
2025-11-26T12:46:37.486992502Z [err]      at async _REST.request (/app/node_modules/@discordjs/rest/dist/index.js:1307:22)
2025-11-26T12:46:37.486998965Z [err]      at async initializeDiscordBot (file:///app/dist/index.js:736:5) {
2025-11-26T12:46:37.486999342Z [err]    url: 'https://discord.com/api/v10/applications/1442053672694714529/commands'
2025-11-26T12:46:37.487004786Z [err]  }
2025-11-26T12:46:37.487006628Z [err]    requestBody: {
2025-11-26T12:46:37.487012200Z [err]      files: undefined,
2025-11-26T12:46:37.487018063Z [err]      json: [
2025-11-26T12:46:37.487023573Z [err]        [Object], [Object], [Object],
2025-11-26T12:46:37.487029029Z [err]        [Object], [Object], [Object],
2025-11-26T12:46:37.487035026Z [err]        [Object], [Object], [Object],
2025-11-26T12:46:37.487040570Z [err]        [Object], [Object], [Object],
2025-11-26T12:46:37.487047210Z [err]        [Object], [Object], [Object],
2025-11-26T12:46:37.487053037Z [err]        [Object], [Object], [Object],
2025-11-26T12:46:37.487058960Z [err]        [Object], [Object], [Object],
2025-11-26T12:46:37.487064356Z [err]        [Object], [Object], [Object],
2025-11-26T12:46:37.487069402Z [err]        [Object], [Object], [Object]
2025-11-26T12:46:37.487075103Z [err]      ]
2025-11-26T12:46:37.487080304Z [err]    },
2025-11-26T12:46:37.487085789Z [err]    rawError: {
2025-11-26T12:46:37.487091428Z [err]      message: 'Invalid Form Body',
2025-11-26T12:46:37.487097069Z [err]      code: 50035,
